"","i","id","quote","rating","date","memberid","location","review_link","fullreview","age"
"20",3,435225472,"Fantastic experience",5,2016-11-06,"43372DFA36A750BED4F5FD2F536549EA","
Pune, India
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435225472-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
One of the best tourist spots in Bangkok. Very calm serene and has a lot of temples to visit. Probably the temple authorities can give some sort of flyers explaining the layout and significance of various spots of significant inside the temple
","35-49 male"
"21",4,436478870,"A Nice place",4,2016-11-11,"415664AD81C66925375347B14A770E19","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436478870-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
A nice place to visit for sure, if not just to check it off the list. Nice sights but in fact it looks better on the promotional photos that in reality.You may spend few hours here, but just as well you can get a full scope of it in under an hour, your choice.
",NA
"22",4,436313653,"Lovely Temple",4,2016-11-11,"AFAF88EAFE77E02D6A4052847759491F","
Motherwell, United Kingdom
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436313653-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Visited this temple in the morning but it was still fairly busy. You also get a free bottle of water with your ticket.Remember to dress appropriately when visiting any temple. The sheer size of the reclining Buddha is breathtaking and worth the visit.
","35-49 male"
"23",4,436295570,"Visit to the temple",4,2016-11-10,"0E0353743B2D2798C95358636F48BF79","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436295570-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Went there as a part of the city tour. Nothing great to talk about but should not miss it. At the most could spend half an hour to 45 mins there. Being humid at day's time should carry drinking water and some eatables.
","35-49 female"
"24",4,436134979,"Must Visit Termple",4,2016-11-10,"88D0E2AF19507EE057594F430D7635FF","
Singapore, Singapore
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r436134979-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Highly recommended, very near to Grand Palace too. A great place to pray and one of the largest reclining buddha in Bangkok. There are other temples within the premises too.
",NA
"25",4,435731907,"Fantastic day out",5,2016-11-08,"B2A6FD42F53B5FDEC3356A2B05859AB2","
Wokingham
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435731907-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Went to see with my family Fantastic day it really is fantastic a must to see on a visit to BangkokAllow a good 4 hours so many other attractions to seeAnd very near china town for lunch Mike
",NA
"26",4,435497303,"Woah....",4,2016-11-07,"B4A355629DB54D467B5311599A345D03","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435497303-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
The reclining Buddha was huge. Many tourist but it's very well organised. A must see place! Oh.... do try the local fruits.
","Male"
"27",4,435346784,"Pradip Medhi",5,2016-11-07,"9CA0D879232877334F680830E3AAC14E","
New Delhi, India
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435346784-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Excellent monument. Must see . 100bht entry fees for all. It is beside the King palace.10 mins walk
",NA
"28",4,435317465,"Iconic",5,2016-11-07,"2F5E91F8BD819C4FEC4676F954C8D8CD","
Perth, Australia
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435317465-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Needless to say, this is one of the most important sites in Bangkok. It may be helpful to know, however, that this is a complex of many temples and can take quite some time to visit. You may not want to see every single building, so acquaint yourself with the layout and visit those areas that you most wish to see first. If you get tired, you can skip out on the rest as it is so easy to get burnt out seeing temple after temple in Thailand.
","25-34 female"
"29",4,435260591,"Gives a nice feel",4,2016-11-07,"1BB3B3172805CA4E22945047B36EE81D","
Mumbai (Bombay), India
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435260591-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
The temple has a lot of Buddha idolsThree main idols areReclining Buddha: Very huge!Standing BuddhaSitting BuddhaYou can spend a good 1 hr. Price is 100 THB per personHowever, please do not use tour guide. The charges are 200 THB per person which is a lot. You can find a temple map inside which would provide you with sufficient detailsAlso there are some free relaxing massage services, some yoga etc available in temple premises
","25-34 male"
"30",4,435225472,"Fantastic experience",5,2016-11-06,"43372DFA36A750BED4F5FD2F536549EA","
Pune, India
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r435225472-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
One of the best tourist spots in Bangkok. Very calm serene and has a lot of temples to visit. Probably the temple authorities can give some sort of flyers explaining the layout and significance of various spots of significant inside the temple
","35-49 male"
"31",5,434826938,"Temple visit",5,2016-11-05,"56224C00B1E8DB42016CB9B736117553","
Ipoh, Perak, Malaysia
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r434826938-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Well maintained temple. Our trip to temple was good s the temple was not too crowded n v cud pray well
","50-64 male"
"32",5,434691811,"Beautiful spiritual experience",5,2016-11-04,"8D53A7E22984A25A62004BDB590AF778","
Pattaya, Thailand
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r434691811-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Although the crowds do get very busy at times, if you can block them out you can't help but feel the purpose and meaning of this statue.
","35-49 male"
"33",5,434286493,"Impressive!",5,2016-11-03,"5E164E63D2CB74666D67BCD133A7EC58","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r434286493-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Impressive temple full of alleys and buildings where you can find The Reclined Budha. You can't miss this attraction in Bangkok.The best way to get there is by boat, since the traffic in Bangkok is very heavy in rush hours.Don't miss this tour.
","35-49 male"
"34",5,434261909,"Must see",5,2016-11-03,"9C21459994294DE0FDE5D646E6C358EC","
Warsaw
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r434261909-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
The second most important (after Emerald Buddha) Buddha statue in Bangkok. Impressive, yet calming place. Entrance fee quite high (100 THB) when comparing to other places.
","25-34 female"
"35",5,434217704,"Amazing",5,2016-11-03,"93E1D51C071A4C0AF36B8B1632781054","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r434217704-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Wat Pho or Wat Phra Chetuphon Wimonmangkalaram also known as he Temple of the Reclining Buddha.largest reclining gold plated buddha it is also the oldest wat and learning center in Bangkok. It's located very close to the Grand Palace and across the river from Wat Arun. A place Must to visit
",NA
"36",5,434136050,"Thoughtful...",4,2016-11-02,"38DC05669ADBF634C054C823E8FCD166","
Reno, Nevada
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r434136050-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
A grand temple off of the river. Do bring change to leave the proper honorifics and you pass the stations around the reclining Buddha.
","50-64 male"
"37",5,434014047,"A must to see",5,2016-11-02,"FA49C8AD083C4E007C6E81AF4391277A","
Texas City
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r434014047-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Don't miss this temple while being in Bangkok. The reclining Buddha is an enormous and impressive construction. You can walk around and visit the different sites for at least 2 hours.
","50-64 male"
"38",5,433924096,"Wonderful experience within the Wat Pho Temple",4,2016-11-02,"EA5946885FB9E9157B0ED9BE2CF09EF5","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r433924096-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
The Wat Pho is a beautiful temple in Bangkok with the main attraction being the huge reclining Buddha.Other than that there are other temples within the premise of different Buddha statues and its very peaceful and serene. The architecture of the temple is lovely and the premises are kept very clean.
",NA
"39",5,433872760,"Beautiful,,",4,2016-11-02,"44D0EE5C79D82CBA948E403182A9C6D1","
Qatar
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r433872760-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
This is a beautiful Royal Temple Complex , a must -see place for all first time visitors to Bangkok. The entry fee was 100 bahts , and one can spend around 2-3 hours here.
","35-49 female"
"40",5,433499962,"What a site",5,2016-11-01,"1B28DA72C97A7A9AFDB8843D2F309230","
Mount Lebanon Governorate, Lebanon
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r433499962-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
very nice place, and a must see. went from hotel (Shangri-La) by the boat, and went back by tuk-tuk.
","50-64 male"
"41",6,433113245,"very beautiful!!!",5,2016-10-30,"347DCDE369C93592A14305FF90F1D552","
mumbai
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r433113245-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
This is a must visit when in BKK. Easily accessible by boat from the Sathorn pier and very close to the Grand Palace. Do ignore the tuktuk drivers who insist that the temple is closed.
",NA
"42",6,432745183,"always remind the past",5,2016-10-29,"EBD3296D74EA75877237C311532260B6","
Imus, Cavite, Philippines
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r432745183-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
This place always reminds me the past and rethink what people would be on that time.Note: You should go there properly dress as a respect to their God.No shorts and sleeveless.
","35-49 female"
"43",6,432729882,"Wat Pho",3,2016-10-29,"4CCBDF0561E499B03046F69B1B6CF2F8","
Porto Alegre, RS
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r432729882-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
It is very nice a lot of buddhas around but as the time goes by it starts to get a little boring so I would not recommend to stay longer than 2 hours.
",NA
"44",6,432578961,"Visited reclining Buddha temple ",5,2016-10-28,"DF5BB2548D33194B591232AF9C16CDD5","
Leamington Spa, United Kingdom
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r432578961-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
We had a guide for afternoon and visited the golden Buddha and the reclining Buddha and then went on a small boat trip. It was really enjoyable and educational. The guide we had was very knowledgeable and we could ask lots of questions as his English was faultless.
",NA
"45",6,432134010,"Temple",3,2016-10-27,"60338DA950BFDC39954D75AA6ED50C50","
Kuala Lumpur, Malaysia
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r432134010-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
No big crowd during our visit on the 17th Oct which suited us well as we have 2 young children with us. Interesting . Traffic was quite bad , jam around the temple area when we left at noon.
",NA
"46",6,432074470,"Stunning Temple",5,2016-10-27,"99EAA8F6B1069015FD7DF8F3C23F8599","
Ras Al Khaimah, United Arab Emirates
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r432074470-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Incredible not to be missed temple in Bangkok, actually a lot nicer than the palace and cheaper and easier to get into. Highly recommended.
",NA
"47",6,431453764,"Inevitable holy and tourist place...",5,2016-10-25,"56665674CB9B5E990779188B650BF23E","
New York
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r431453764-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
Crowded... victim of its own success... Furthermore never forget that: it's a holy temple !With packing crowd and stifling heat, you must take a lot of time to fulfill your visit... And you have a lot to see (inside, outside, etc.)Otherwise very cheap, around 3 euros for adult only.
",NA
"48",6,431210811,"Amazingly divine...",5,2016-10-24,"56364527A28A2E81035666FE30D129FD","
Kolkata (Calcutta), India
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r431210811-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
So huge is the Reclining Buddha that one feels scared in the first, but when I looked at him the almighty is blessings the mankind.The place is very peaceful, immediately you feel the mind has been purified and the size seems to be indicative of him giving us protection..Truly a touch of divinity...
","25-34 male"
"49",6,431204247,"Excellent piece of thai architecture",5,2016-10-24,"C49FE2D5EF8034CECDD76997B98A0001","
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r431204247-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
You would have to walk a bit to cover the whole area. But its worth the walk. Every corner of this temple is worth watching. Do not miss this place if you are in Bangkok and interested in Buddhist temples.
",""
"50",6,431196612,"this is an amazing feat of engineering and a beautiful palace",5,2016-10-24,"41523CDC0F284790949EE8E4D20AEFEC","
Austin, Texas
","https://www.tripadvisor.com/ShowUserReviews-g293916-d311043-r431196612-Temple_of_the_Reclining_Buddha_Wat_Pho-Bangkok.html#REVIEWS","
definitely try to to get there as early as possible or later in the afternoon...the crazy tour buses show up and thousands pour our and are pushy and rude. the palace, if you get away from the reclining Buddha is very serene and you almost have it to yourself!!
","50-64 male"
